"","var","ID1","ID2","mean","median","pc2.5","pc97.5","overlap0","gel","DOY","TIMESTAMP"
"1","WUE.pred",1,NA,52.7237658061904,51.1003113939841,38.5403644316912,76.4537468489757,FALSE,1.00536374840547,195,2018-07-14 10:00:00
"2","WUE.pred",2,NA,42.434758411087,41.5241261471497,31.7037140481483,58.554605250004,FALSE,1.00033175851691,195,2018-07-14 11:00:00
"3","WUE.pred",3,NA,38.2410417712462,37.7560935578463,28.1031613995213,51.3812057900123,FALSE,1.00009289758133,195,2018-07-14 12:00:00
"4","WUE.pred",4,NA,34.4030332642548,33.5944881757401,25.9948273424711,47.7756938469314,FALSE,1.00010023994961,195,2018-07-14 13:00:00
"5","WUE.pred",5,NA,41.684764684942,40.0972177265761,31.107626921569,60.6360659785481,FALSE,1.27106975455698,195,2018-07-14 14:00:00
"6","WUE.pred",6,NA,33.9177619206385,31.976993575862,21.9853795025739,56.5089291400533,FALSE,1.00122678371245,195,2018-07-14 15:00:00
"7","WUE.pred",7,NA,87.632360754565,74.7030907530208,46.6352442644103,196.735106986464,FALSE,1.02028773267556,196,2018-07-15 08:00:00
"8","WUE.pred",8,NA,82.9827796849967,78.6481294372714,55.0062419297971,136.563139239483,FALSE,1.00117389702595,196,2018-07-15 09:00:00
"9","WUE.pred",9,NA,73.4188012477253,70.9143884842061,52.9358931085581,108.148012929513,FALSE,1.00028502590722,196,2018-07-15 10:00:00
"10","WUE.pred",10,NA,59.3524041122678,57.6075288122943,43.4775353406278,85.3185941059614,FALSE,1.00013751517221,196,2018-07-15 11:00:00
"11","WUE.pred",11,NA,55.3604849204474,54.6882174172045,39.7933952587861,74.9837725927217,FALSE,0.999966661320696,196,2018-07-15 12:00:00
"12","WUE.pred",12,NA,54.7842394770865,53.7058530006564,40.931017420837,75.6500841123594,FALSE,1.00023819502531,196,2018-07-15 13:00:00
"13","WUE.pred",13,NA,53.2033573184615,50.147257773625,37.543158588766,84.1242382049622,FALSE,1.25785980082972,196,2018-07-15 14:00:00
"14","WUE.pred",14,NA,51.114012549325,47.197542562363,34.6004440188101,89.093626406124,FALSE,1.14333111750102,196,2018-07-15 15:00:00
"15","WUE.pred",15,NA,67.9010377408339,63.4383618672297,45.5610542510557,115.820565294143,FALSE,1.07819483519102,198,2018-07-17 08:00:00
"16","WUE.pred",16,NA,68.6941215219062,66.3531231303296,51.0162061751009,101.143627871846,FALSE,1.0000652496345,198,2018-07-17 09:00:00
"17","WUE.pred",17,NA,51.4452936185469,50.4702128893121,40.0490336503575,68.3006122512257,FALSE,1.00030655572325,198,2018-07-17 10:00:00
"18","WUE.pred",18,NA,43.6162465220371,43.309615348341,34.3010488572964,54.8787302422082,FALSE,1.00015807451792,198,2018-07-17 11:00:00
"19","WUE.pred",19,NA,36.7819652589553,36.5507939928443,29.1064470534649,45.7559336470386,FALSE,1.00031308583031,198,2018-07-17 12:00:00
"20","WUE.pred",20,NA,45.9305179676182,45.2631308515171,35.8937744118542,59.7941903127697,FALSE,1.00032129299631,198,2018-07-17 13:00:00
"21","WUE.pred",21,NA,42.8926191288892,39.7729392098624,29.5354682269877,73.8387587992932,FALSE,1.00375529874349,198,2018-07-17 14:00:00
"22","WUE.pred",22,NA,41.8260699679231,40.6562016819576,30.5166568980901,59.4577493794138,FALSE,1.00001137644954,198,2018-07-17 15:00:00
"23","WUE.pred",23,NA,91.4453323439744,89.9628000796494,52.5602055657363,396.613361965049,FALSE,1.271000909466,201,2018-07-20 08:00:00
"24","WUE.pred",24,NA,88.6697394287189,78.0596299091713,51.9184434701296,170.151931365365,FALSE,1.25434422223014,201,2018-07-20 09:00:00
"25","WUE.pred",25,NA,66.8309113533305,64.7033004042255,46.6610994130037,101.091463776136,FALSE,1.01910825483469,201,2018-07-20 10:00:00
"26","WUE.pred",26,NA,64.2577322440241,62.3183236191583,44.400878778172,96.7012792497714,FALSE,1.00037504807424,201,2018-07-20 11:00:00
"27","WUE.pred",27,NA,53.2541280350769,51.6998085873188,36.0308434579285,79.5346650096668,FALSE,1.0000983247979,201,2018-07-20 12:00:00
"28","WUE.pred",28,NA,53.7449912408306,52.7529732861365,40.2146374394625,73.1802395161998,FALSE,1.00023720980364,201,2018-07-20 13:00:00
"29","WUE.pred",29,NA,46.5246747550732,44.9668268968252,34.8634883648072,67.1831987865665,FALSE,1.00009225495866,201,2018-07-20 14:00:00
"30","WUE.pred",30,NA,47.2094876383058,46.3071287227456,38.1590126279849,61.5183829323836,FALSE,1.00004706254817,201,2018-07-20 15:00:00
"31","WUE.pred",31,NA,87.7405828247021,79.6383689665443,55.9207516041027,165.901921509529,FALSE,1.01047806720923,202,2018-07-21 08:00:00
"32","WUE.pred",32,NA,77.642166268688,75.075106638199,57.1198004622562,112.806030185443,FALSE,1.00017503885977,202,2018-07-21 09:00:00
"33","WUE.pred",33,NA,61.3488856158006,60.2100258445182,46.0990658536721,83.6542911403278,FALSE,1.00018580367252,202,2018-07-21 10:00:00
"34","WUE.pred",34,NA,43.4021247077038,42.8523735520062,32.5202591978695,57.7548350772786,FALSE,1.00008046789035,202,2018-07-21 11:00:00
"35","WUE.pred",35,NA,54.663164942827,54.2024939101842,41.7847529937762,70.2594801095702,FALSE,1.00024833653932,202,2018-07-21 12:00:00
"36","WUE.pred",36,NA,46.5504281757285,45.9165716908414,36.8663676850653,59.9436290956826,FALSE,1.0003197652765,202,2018-07-21 13:00:00
"37","WUE.pred",37,NA,44.3418117454159,43.3177145345904,34.5915619605691,60.1513334385793,FALSE,1.00038970053373,202,2018-07-21 14:00:00
