"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"dYdX2050",2050,"dYdX",10.2150086149005,8.10470416828677,12.3838278972861,FALSE,0.999924262719002
"dYdX2051",2051,"dYdX",11.6520425533257,9.23809595015611,14.1125718051709,FALSE,0.999961320388392
"dYdX2052",2052,"dYdX",10.7831444345669,8.68871988250745,12.9036868117743,FALSE,0.999874001107562
"dYdX2053",2053,"dYdX",9.97530702396861,7.97226363957886,11.9847083146683,FALSE,0.999898852776777
"dYdX2054",2054,"dYdX",10.4376404512834,8.20338840494636,12.7211102151329,FALSE,0.999947888201476
"dYdX2055",2055,"dYdX",11.6958613517607,8.97877372514043,14.6112789620458,FALSE,0.999936837797702
"dYdX2056",2056,"dYdX",11.3248992371275,8.73184600137079,14.1371965472853,FALSE,0.999933640752657
"dYdX2057",2057,"dYdX",10.7201600538055,8.34916903216609,13.3279615132031,FALSE,0.999931433591349
"dYdX2058",2058,"dYdX",9.85242061817767,7.4291654229994,12.5395712895062,FALSE,0.999941477157886
"dYdX2059",2059,"dYdX",9.25169044350945,6.89595764779368,11.8415767802123,FALSE,0.999944038236392
"dYdX2060",2060,"dYdX",9.0167791401182,6.72264762289451,11.4932577875045,FALSE,0.999942439975445
"dYdX2061",2061,"dYdX",8.65745810110564,6.4292317706028,11.0140791938189,FALSE,0.999940520954598
"dYdX2062",2062,"dYdX",8.29783847594794,6.17178527172774,10.5330996735341,FALSE,0.999934313676583
"dYdX2063",2063,"dYdX",7.96975416136918,5.83149106161436,10.2215406075979,FALSE,0.999937119649578
"dYdX2064",2064,"dYdX",7.41426948253774,5.46446657752995,9.46550756666456,FALSE,0.999940733876322
"dYdX2065",2065,"dYdX",7.55222514349325,5.50675779219699,9.68769525320097,FALSE,0.99995727670675
"dYdX2066",2066,"dYdX",7.4259199652549,5.43574100512346,9.50043060337321,FALSE,0.999957490856375
"dYdX2067",2067,"dYdX",6.88523616643251,5.07741043598298,8.75733144729936,FALSE,0.999946969039372
"dYdX2068",2068,"dYdX",7.05482784342223,5.15853682536958,9.00495516546142,FALSE,0.999984014068214
