"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"beta0",1,"beta0",3.42892199146894,3.01305373042869,3.84652781884514,FALSE,0.99995950381936
"beta11",1,"beta1",3.38275080647866,3.08163555621914,3.68746091368296,FALSE,1.00110775268532
"beta12",2,"beta1",0.014973468142144,-0.417519214319802,0.479510883853125,TRUE,1.00033519334275
"beta13",3,"beta1",-0.0569483496961986,-0.15674526434137,0.0423573046310098,TRUE,1.0002876534969
"beta14",4,"beta1",-0.14966367322855,-0.483109833039308,0.18296500611323,TRUE,0.999990785684647
"beta15",5,"beta1",2.48660412249063,1.79349875315313,3.20414006496925,FALSE,0.999960204361694
"beta1a1",1,"beta1a",-0.0349223403122289,-0.255171731184917,0.204392664527868,TRUE,1.00007057148961
"beta1a2",2,"beta1a",-0.853110289257361,-1.09562919555335,-0.596200248815861,FALSE,0.999961081789291
"beta21",1,"beta2",-0.223805583713575,-0.810472650318076,0.301973266742825,TRUE,0.999875273571564
"beta22",2,"beta2",1.21258505100427,0.900664722750107,1.5219232800203,FALSE,1.00005318873571
"beta23",3,"beta2",0.497457284967544,0.0462045514886684,0.967947633481373,FALSE,1.00005394802014
"beta24",4,"beta2",0.335658993031528,0.085859996778006,0.586809836556221,FALSE,1.00065608177775
"beta25",5,"beta2",-1.51636107701347,-2.31812094477775,-0.760212865788401,FALSE,1.00028727774075
"beta26",6,"beta2",1.06901659532349,0.572762086751369,1.56407648406301,FALSE,0.999923482459035
"dYdX1",1,"dYdX",NA,NA,NA,NA,NA
"dYdX2",2,"dYdX",NA,NA,NA,NA,NA
"dYdX3",3,"dYdX",NA,NA,NA,NA,NA
"dYdX4",4,"dYdX",NA,NA,NA,NA,NA
"dYdX5",5,"dYdX",NA,NA,NA,NA,NA
"dYdX6",6,"dYdX",NA,NA,NA,NA,NA
"dYdX7",7,"dYdX",NA,NA,NA,NA,NA
"dYdX8",8,"dYdX",NA,NA,NA,NA,NA
"dYdX9",9,"dYdX",NA,NA,NA,NA,NA
"dYdX10",10,"dYdX",NA,NA,NA,NA,NA
"dYdX11",11,"dYdX",4.16028770793554,3.0714557156915,5.33697608494812,FALSE,0.999842395326476
"dYdX12",12,"dYdX",4.15236417889483,3.09906310904241,5.28315575444261,FALSE,0.999843572576344
"dYdX13",13,"dYdX",4.14320141407577,3.13072369333487,5.2081384038204,FALSE,0.9998426659852
"dYdX14",14,"dYdX",4.12313314062816,3.17903768214219,5.11476377193658,FALSE,0.999840634061621
"dYdX15",15,"dYdX",4.10783290472521,3.22360844785775,5.05221606644289,FALSE,0.999839674397118
"dYdX16",16,"dYdX",4.102074241245,3.29173945039637,4.98612824728461,FALSE,0.999839925947261
"dYdX17",17,"dYdX",4.1157000966323,3.34851927552728,4.95972596664086,FALSE,0.999840498494822
