"","var","ID1","ID2","mean","median","pc2.5","pc97.5","overlap0","gel","DOY","TIMESTAMP"
"1","beta0",1,NA,6.27503366860264,6.11411479663329,4.27146904538475,9.08719223525477,FALSE,1.00009858912834,NA,NA
"2","beta1",1,NA,2.18819765211093,1.70783641818484,-0.487803011523847,7.07101923728705,TRUE,1.0001170431926,NA,NA
"3","beta1",2,NA,-6.2007610304915,-5.33782229247667,-15.1758697860837,-1.41523988966788,FALSE,1.00010425021441,NA,NA
"4","beta1",3,NA,1.66791135343728,1.63834045729686,-0.952989858480229,4.45223794897695,TRUE,1.00024468434573,NA,NA
"5","beta1",4,NA,-2.41693144200573,-2.40664648506797,-6.41046588918037,1.56556911985729,TRUE,1.00024415994144,NA,NA
"6","beta1",5,NA,3.33792052245971,3.13601373516748,0.732717755753917,7.20118807878587,FALSE,1.00027678825289,NA,NA
"7","beta1a",1,NA,1.93158302059589,1.62379640740812,0.0982917917743797,5.25633995174505,FALSE,1.00016375400321,NA,NA
"8","beta1a",2,NA,4.66325780843832,3.82457499490678,-0.480218192122273,13.5968925840492,TRUE,1.00009415757861,NA,NA
"9","beta2",1,NA,-5.64663672681796,-4.64174060653084,-16.2087964491733,0.196993441245359,TRUE,1.00011700362688,NA,NA
"10","beta2",2,NA,-1.84871493871815,-1.70409602363607,-4.56765096099132,0.219921455615399,TRUE,1.00010391408963,NA,NA
"11","beta2",3,NA,2.2958324738643,1.9982497534084,-0.871047468195327,6.83236959809854,TRUE,1.00012101251693,NA,NA
"12","beta2",4,NA,3.62422249750601,3.53907228857163,0.989357594669738,6.68675953283867,FALSE,1.00006384132289,NA,NA
"13","beta2",5,NA,-5.40206963462374,-5.14810083837211,-11.4970635310186,-0.828267936692987,FALSE,1.00011227048333,NA,NA
"14","beta2",6,NA,-2.35711075983944,-2.23810531677396,-5.06895078663758,-0.320696615888129,FALSE,1.0001308950832,NA,NA
"15","beta0_p_temp",1,NA,0.99989999599984,1,1,1,FALSE,1.01939253604315,NA,NA
"16","beta1_p_temp",1,NA,0.917556702268091,1,0,1,TRUE,1.00032965420626,NA,NA
"17","beta1_p_temp",2,NA,0.00874034961398456,0,0,0,FALSE,1.00002061962177,NA,NA
"18","beta1_p_temp",3,NA,0.906396255850234,1,0,1,TRUE,1.00043323463272,NA,NA
"19","beta1_p_temp",4,NA,0.0927837113484539,0,0,1,TRUE,1.00057710396224,NA,NA
"20","beta1_p_temp",5,NA,0.992879715188608,1,1,1,FALSE,1.00785327089121,NA,NA
"21","beta1a_p_temp",1,NA,0.985299411976479,1,1,1,FALSE,1.00477883764178,NA,NA
"22","beta1a_p_temp",2,NA,0.955558222328893,1,0,1,TRUE,1.00137243361867,NA,NA
"23","beta2_p_temp",1,NA,0.0332413296531861,0,0,1,TRUE,1.00177329581919,NA,NA
"24","beta2_p_temp",2,NA,0.0457218288731549,0,0,1,TRUE,1.00021245707447,NA,NA
"25","beta2_p_temp",3,NA,0.902016080643226,1,0,1,TRUE,1.00050067203304,NA,NA
"26","beta2_p_temp",4,NA,0.994819792791712,1,1,1,FALSE,1.01067986555198,NA,NA
"27","beta2_p_temp",5,NA,0.00962038481539262,0,0,0,FALSE,1.00640563950295,NA,NA
"28","beta2_p_temp",6,NA,0.0105604224168967,0,0,0,FALSE,1.0008645344033,NA,NA
"29","dYdX",1,1,-1.17384758177737,-1.05734819317318,-3.63340008832015,0.717795162649929,TRUE,0.999984817079408,195,2018-07-14 10:00:00
"30","dYdX",2,1,-0.465594979808176,-0.408953596448108,-2.34813751206444,1.1247706480502,TRUE,0.999994814085405,195,2018-07-14 11:00:00
"31","dYdX",3,1,-1.05083717678027,-1.00433143937584,-3.0405185236412,0.689871584051091,TRUE,1.00007849498495,195,2018-07-14 12:00:00
"32","dYdX",4,1,0.00296527468912986,0.0148614228980852,-1.78494742684131,1.73004032639229,TRUE,1.00004972456387,195,2018-07-14 13:00:00
"33","dYdX",5,1,0.479587268757068,0.47452972851648,-1.29005844746439,2.26842047990757,TRUE,1.00006734682479,195,2018-07-14 14:00:00
"34","dYdX",6,1,1.2190101384882,1.15879678609216,-0.631081433232194,3.40000709809173,TRUE,1.0000772777662,195,2018-07-14 15:00:00
"35","dYdX",7,1,-0.0597590922528822,-0.121745703944672,-2.00264743896714,2.21145841949433,TRUE,1.00016005097909,196,2018-07-15 08:00:00
"36","dYdX",8,1,0.491265958379553,0.418920228442687,-1.54807372641587,2.90254510721716,TRUE,1.00007648346441,196,2018-07-15 09:00:00
"37","dYdX",9,1,-0.0385337481805066,-0.0692393219911056,-2.08691839755704,2.19158632156616,TRUE,1.0001177222327,196,2018-07-15 10:00:00
"38","dYdX",10,1,-0.105068362525858,-0.104601733034132,-1.87588773880937,1.67183348055805,TRUE,1.00000581565679,196,2018-07-15 11:00:00
"39","dYdX",11,1,-0.312966784442143,-0.300955785689427,-2.20001051188187,1.49814812478627,TRUE,1.00010692854037,196,2018-07-15 12:00:00
"40","dYdX",12,1,-0.621735222323573,-0.558371953716488,-2.75933459859311,1.25036650222653,TRUE,1.00003930398734,196,2018-07-15 13:00:00
"41","dYdX",13,1,0.185913160181707,0.197359908087376,-1.75309691275051,2.05134855142167,TRUE,1.00014248453544,196,2018-07-15 14:00:00
"42","dYdX",14,1,-0.700381491148684,-0.642202005285194,-2.57799338097609,0.852670145085518,TRUE,1.00007809627449,196,2018-07-15 15:00:00
"43","dYdX",15,1,-2.01506076131094,-1.91750465597884,-4.43469781279541,-0.0832600897282668,FALSE,1.00002480718769,198,2018-07-17 08:00:00
