"","var","ID1","ID2","mean","median","pc2.5","pc97.5","overlap0","gel","DOY","TIMESTAMP"
"1","beta0",1,NA,0.28412883842427,0.138163716019423,-0.270624516710904,1.12119346377628,TRUE,1.49723431495698,NA,NA
"2","beta1",1,NA,0.108552084013103,0.0979325017785143,-0.066856594748411,0.293392463660156,TRUE,1.44630027766029,NA,NA
"3","beta1",2,NA,0.13865173806828,-0.0362175198552682,-0.686821851349958,1.17920472492253,TRUE,1.21127531932964,NA,NA
"4","beta1",3,NA,-1.70933271251196,-0.62379650949107,-4.90512592023477,0.408938656376449,TRUE,3.49434396672366,NA,NA
"5","beta1",4,NA,2.14011275296711,0.893342458892843,-0.46317597887518,6.19845711744407,TRUE,3.4112298426516,NA,NA
"6","beta1",5,NA,-0.136791573414946,-0.136008164538314,-0.541085976609593,0.104779478480848,TRUE,2.34163174461414,NA,NA
"7","beta1a",1,NA,-0.0188745325944937,-0.0163208557468826,-0.0557358447227086,0.0101842367880288,TRUE,2.10974688509982,NA,NA
"8","beta1a",2,NA,-0.0922891667095884,-0.0548015945618431,-0.570837069209959,0.326728245715444,TRUE,1.23731954149488,NA,NA
"9","beta2",1,NA,-0.0109024705890387,-0.0289533390108463,-0.199367264245298,0.1668188872804,TRUE,2.81163736200986,NA,NA
"10","beta2",2,NA,-0.044421008681234,-0.0309436468150636,-0.183489061337882,0.0638161963689926,TRUE,1.53268015086093,NA,NA
"11","beta2",3,NA,-0.0976150318510038,-0.0178081737691,-0.640552545327113,0.326194482921404,TRUE,1.27844864290074,NA,NA
"12","beta2",4,NA,0.0111492790266974,0.013381539638959,-0.0566770470209757,0.0855543646167351,TRUE,2.40214953907848,NA,NA
"13","beta2",5,NA,0.0514823905005742,0.0440348584903306,-0.217621419019226,0.309957878946457,TRUE,1.23965465283123,NA,NA
"14","beta2",6,NA,0.0865870511680618,0.0806207386423638,-0.0640822802615991,0.312793858106365,TRUE,2.08146768490785,NA,NA
"15","beta0_p_temp",1,NA,0.84019360774431,1,0,1,TRUE,1.04920207885248,NA,NA
"16","beta1_p_temp",1,NA,0.911476459058362,1,0,1,TRUE,1.39879277801949,NA,NA
"17","beta1_p_temp",2,NA,0.46631865274611,0,0,1,TRUE,1.83157779593942,NA,NA
"18","beta1_p_temp",3,NA,0.333353334133365,0,0,1,TRUE,192.442103091364,NA,NA
"19","beta1_p_temp",4,NA,0.664486579463179,1,0,1,TRUE,18.4498727984999,NA,NA
"20","beta1_p_temp",5,NA,0.386955478219129,0,0,1,TRUE,3.71900341748906,NA,NA
"21","beta1a_p_temp",1,NA,0.13222528901156,0,0,1,TRUE,1.15840972627984,NA,NA
"22","beta1a_p_temp",2,NA,0.213028521140846,0,0,1,TRUE,1.29085117807356,NA,NA
"23","beta2_p_temp",1,NA,0.428397135885435,0,0,1,TRUE,2.72084625064649,NA,NA
"24","beta2_p_temp",2,NA,0.252190087603504,0,0,1,TRUE,1.17125416129365,NA,NA
"25","beta2_p_temp",3,NA,0.396635865434617,0,0,1,TRUE,1.16564565587362,NA,NA
"26","beta2_p_temp",4,NA,0.577423096923877,1,0,1,TRUE,2.65350207265071,NA,NA
"27","beta2_p_temp",5,NA,0.770510820432817,1,0,1,TRUE,1.33742027571267,NA,NA
"28","beta2_p_temp",6,NA,0.653126125045002,1,0,1,TRUE,2.71418770219236,NA,NA
"29","dYdX",1,1,0.042252709466645,0.0419609804712061,-0.0581560171545629,0.128173026292807,TRUE,2.48102021155494,195,2018-07-14 10:00:00
"30","dYdX",2,1,0.0306056631339049,0.0296409645146871,-0.0736825021728623,0.116461696640241,TRUE,2.22288842111125,195,2018-07-14 11:00:00
"31","dYdX",3,1,0.0374560077253351,0.0321187825363671,-0.0625696152046514,0.13295897949133,TRUE,2.62610150248024,195,2018-07-14 12:00:00
"32","dYdX",4,1,0.0699142354303904,0.0529078355093075,-0.045751392460234,0.203188420530142,TRUE,3.84132367654661,195,2018-07-14 13:00:00
"33","dYdX",5,1,0.0872699703816165,0.0741978019048653,-0.0450693242138445,0.225556231071425,TRUE,3.82558648743205,195,2018-07-14 14:00:00
"34","dYdX",6,1,0.0876744711571585,0.0871169133285545,-0.0552557138846879,0.21216523917222,TRUE,3.14306433286728,195,2018-07-14 15:00:00
"35","dYdX",7,1,0.0433968211810365,0.0453518617448509,-0.0538189631729053,0.131330879233538,TRUE,1.57237658104336,196,2018-07-15 08:00:00
"36","dYdX",8,1,0.0340317243573914,0.0369462644466686,-0.047301793550726,0.102099658966493,TRUE,1.48215718495346,196,2018-07-15 09:00:00
"37","dYdX",9,1,0.017736030882643,0.0213712334458689,-0.0583595176401287,0.0780641981807186,TRUE,1.36207385314416,196,2018-07-15 10:00:00
"38","dYdX",10,1,0.0102346135303234,0.0127656894517314,-0.0672087474496482,0.0711842943340688,TRUE,1.15177683913611,196,2018-07-15 11:00:00
"39","dYdX",11,1,0.0184459695226052,0.0204903538254089,-0.0568841458772752,0.0771792289506772,TRUE,1.15013264194751,196,2018-07-15 12:00:00
"40","dYdX",12,1,0.0659610406566048,0.0658159779399018,-0.0375798397128265,0.156824132408686,TRUE,2.45590844149023,196,2018-07-15 13:00:00
"41","dYdX",13,1,0.0886501613079642,0.0889114520717736,-0.0345996912517363,0.193517952397333,TRUE,2.69887933937709,196,2018-07-15 14:00:00
"42","dYdX",14,1,0.098145207895225,0.107699284002087,-0.0403977191028665,0.196943123699934,TRUE,2.55256730317834,196,2018-07-15 15:00:00
